Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm)
10/1/2018,71387,120257,290631,2618
10/2/2018,73113,122234,290788,2666
10/3/2018,76769,129720,290947,3141
10/4/2018,70698,116337,291073,2838
10/5/2018,74744,129597,291166,3979
10/6/2018,57599,110421,291298,5658
10/7/2018,60753,127033,291425,6936
10/8/2018,58256,95097,291549,2865
10/9/2018,74251,123973,291672,2846
10/10/2018,77317,132255,291765,3115
10/11/2018,46862,70173,291862,1323
10/12/2018,67686,113055,291962,3453
10/13/2018,54747,100652,292029,2430
10/14/2018,54297,103697,292158,4805
10/15/2018,59181,92219,292262,1958
10/16/2018,66661,104171,292370,2200
10/17/2018,67868,107762,292469,2341
10/18/2018,61668,94356,292519,1969
10/19/2018,64735,105730,292604,3012
10/20/2018,56281,109142,292711,5644
10/21/2018,39192,64764,292811,2488
10/22/2018,57919,88293,292899,1721
10/23/2018,68086,110293,292992,2356
10/24/2018,64203,98615,293077,1942
10/25/2018,61637,95827,293309,2003
10/26/2018,59861,92569,293508,2292
10/27/2018,13124,17949,293542,333
10/28/2018,42502,74540,293611,3134
10/29/2018,60028,92882,293722,1853
10/30/2018,65545,102834,293819,1957
10/31/2018,68447,114102,294007,2544
11/1/2018,74258,1740,294111,3288
